Noun,Verb,Other ,Non words,Non words cont,,
ship,Run,the,ing,we,s,
boat,fly,the,ing,we,d,
travel,will,the,ing,he,d,
language,sing,the,ing,his,d,
symphony,find,a,and,she,es,
gorgeous,found,a,and,her,es,
elaborate,drop,a,and,it,ed,
lonely,lift,a,or,it,ed,
self,carry,above,or,it,mine,
sky,know,after,on,they,me,
love,full,almost,on,it,my,
machine,empty,always,into,an,mine,
beautiful,listen,sometimes,with,an,me,
star,feel,silent,to,an,my,
moon,help,shall,to,the,but,
sun,harvest,may,I,the,but,
dream,make,might,I,the,yes,
Imagine,made,early,I,about,yes,
yesterday,blister,late,you,am,no,
today,awe,more,you,s,no,
tomorrow,prick,most,you,s,er,
day,play,less,do,our,er,
night,pretend,least,do,ours,er,
morning,believe,here,does,of,er,
evening,fulfil,there,does,of,t,
afternoon,throw,every,in,of,re,
dawn,wave,each,in,of,re,
deep,eat,none,in,un,re,
time,ate,little,are,un,re,
home,give,has,are,by,dis,
house,go,have,be,by,dis,
roof,get,truth,be,a,some,
floor,hate,lie,was,time,,
eye,need,lay,was,,,
face,mad,between,were,,,
sad,kind,tran,were,,,
joy,just,when,from,,,
friend,pray,which,,,,
hand,quiet,where,,,,
magic,loud,what,,,,
food,put,how,,,,
garden,relax,,,,,
heat,pull,,,,,
mother,push,,,,,
father,speak,,,,,
soldier,tell,,,,,
child,drawn,,,,,
check,sand,,,,,
border,coast,,,,,
wall,traverse,,,,,
root,scatter,,,,,
plant,navigate,,,,,
flower,flee,,,,,
fool,trace,,,,,
pattern,drift,,,,,
water,habit,,,,,
sea,fluid,,,,,
ocean,written,,,,,
shell,adapt,,,,,
compass,heritage,,,,,
road,come,,,,,
stone,shake,,,,,
mountain,action,,,,,
life,form,,,,,
movement,gift,,,,,
migrate,fare,,,,,
encounter,well,,,,,
exchange,tongue,,,,,
line,mirror,,,,,
stranger,clash,,,,,
homeland,class,,,,,
refuge,code,,,,,
diaspora,narrative,,,,,
port,swap,,,,,
crossing,trade,,,,,
exile,merge,,,,,
place,learn,,,,,
threshold,borrow,,,,,
new,layer,,,,,
custom,,,,,,
,,at,,,,
,,at,,,,
,,at,,,,



